DATE,TIME,Road_type,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,COLLISION_CLASSIFICATION,IMPACT_TYPE,Location,NO_OF_PEDESTRIANS
Weekday,Night,Road,01 - Clear,05 - Dusk,01 - Dry,10 - No control,P.D. only,05 - Turning movement,mid_town,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Night,Road,01 - Clear,07 - Dark,03 - Loose snow,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Early_Morning,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekday,Early_Morning,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,07 - SMV other,Ottawa_east,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_south,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,01 - Traffic signal,P.D. only,05 - Turning movement,downtown,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,10 - No control,Injury,03 - Rear end,Ottawa_west,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,05 - Turning movement,downtown,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,Injury,07 - SMV other,downtown,1
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,04 - Sideswipe,downtown,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,99 - Other,Ottawa_west,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,04 - Sideswipe,downtown,0
Weekday,Noon,highway,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,P.D. only,03 - Rear end,mid_town,0
Weekday,Afternoon,highway,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,06 - Ice,10 - No control,P.D. only,06 - SMV unattended vehicle,Ottawa_east,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,05 - Turning movement,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,02 - Angle,Ottawa_east,0
Weekday,Evening,highway,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,04 - Sideswipe,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,Injury,02 - Angle,mid_town,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,Injury,05 - Turning movement,downtown,0
Weekday,Night,Road,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,Injury,07 - SMV other,mid_town,1
Weekday,Night,Road,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Night,Road,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,04 - Sideswipe,downtown,0
Weekday,Mid_Night,Road,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,04 - Sideswipe,downtown,0
Weekday,Early_Morning,Road,01 - Clear,07 - Dark,05 - Packed snow,10 - No control,P.D. only,02 - Angle,mid_town,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,02 - Angle,Ottawa_west,0
Weekends,Evening,Road,01 - Clear,01 - Daylight,06 - Ice,02 - Stop sign,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,Injury,07 - SMV other,downtown,1
Weekday,Early_Morning,Road,03 - Snow,07 - Dark,02 - Wet,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekday,Mid_Night,Road,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,P.D. only,02 - Angle,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,03 - Rear end,Ottawa_east,0
Weekends,Night,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,Injury,07 - SMV other,downtown,1
Weekday,Night,Road,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,P.D. only,03 - Rear end,downtown,0
Weekday,Night,Road,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,P.D. only,02 - Angle,Ottawa_west,0
Weekday,Early_Morning,Road,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Morning,Road,01 - Clear,07 - Dark,03 - Loose snow,10 - No control,P.D. only,07 - SMV other,Ottawa_west,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,05 - Packed snow,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,03 - Rear end,Ottawa_west,0
Weekday,Night,Road,01 - Clear,01 - Daylight,99 - Other,01 - Traffic signal,P.D. only,04 - Sideswipe,downtown,0
Weekday,Morning,Road,01 - Clear,07 - Dark,04 - Slush,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Night,Road,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Night,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Night,Road,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Night,Road,01 - Clear,05 - Dusk,01 - Dry,10 - No control,P.D. only,04 - Sideswipe,mid_town,0
Weekday,Night,Road,01 - Clear,05 - Dusk,05 - Packed snow,10 - No control,P.D. only,06 - SMV unattended vehicle,Ottawa_west,0
Weekday,Night,Road,01 - Clear,05 - Dusk,04 - Slush,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Night,Road,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,P.D. only,03 - Rear end,mid_town,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,99 - Other,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,P.D. only,02 - Angle,mid_town,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,05 - Packed snow,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekday,Mid_Night,Road,03 - Snow,07 - Dark,04 - Slush,01 - Traffic signal,P.D. only,07 - SMV other,mid_town,0
Weekday,Early_Morning,Road,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekday,Noon,Road,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,06 - SMV unattended vehicle,Ottawa_south,0
Weekday,Night,Road,03 - Snow,07 - Dark,06 - Ice,01 - Traffic signal,P.D. only,02 - Angle,mid_town,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,03 - Loose snow,02 - Stop sign,Injury,02 - Angle,Ottawa_east,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,02 - Wet,02 - Stop sign,P.D. only,02 - Angle,Ottawa_south,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,03 - Loose snow,02 - Stop sign,Injury,01 - Approaching,Ottawa_east,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,05 - Turning movement,Ottawa_west,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,02 - Angle,mid_town,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,02 - Angle,mid_town,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,Injury,02 - Angle,downtown,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,02 - Angle,downtown,0
Weekday,Noon,Road,03 - Snow,07 - Dark,02 - Wet,10 - No control,P.D. only,07 - SMV other,mid_town,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,05 - Packed snow,02 - Stop sign,P.D. only,02 - Angle,mid_town,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,02 - Angle,Ottawa_west,0
Weekday,Evening,Road,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,07 - SMV other,Ottawa_east,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,99 - Other,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,Injury,03 - Rear end,Ottawa_east,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,06 - Ice,10 - No control,Injury,03 - Rear end,Ottawa_east,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,05 - Packed snow,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Evening,highway,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,04 - Sideswipe,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,02 - Angle,Ottawa_west,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,02 - Angle,mid_town,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,04 - Slush,02 - Stop sign,P.D. only,02 - Angle,Ottawa_east,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,04 - Sideswipe,Ottawa_south,0
Weekday,Night,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,99 - Other,Ottawa_east,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Night,highway,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,05 - Turning movement,downtown,0
Weekday,Night,Road,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,P.D. only,02 - Angle,Ottawa_south,0
Weekday,Night,Road,01 - Clear,01 - Daylight,06 - Ice,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Night,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,Injury,02 - Angle,mid_town,0
Weekday,Night,Road,01 - Clear,05 - Dusk,02 - Wet,10 - No control,Injury,07 - SMV other,mid_town,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,02 - Wet,10 - No control,P.D. only,04 - Sideswipe,mid_town,0
Weekday,Night,Road,01 - Clear,05 - Dusk,05 - Packed snow,10 - No control,P.D. only,06 - SMV unattended vehicle,Ottawa_south,0
Weekday,Night,Road,01 - Clear,05 - Dusk,06 - Ice,03 - Yield sign,Injury,02 - Angle,downtown,0
Weekday,Night,Road,03 - Snow,05 - Dusk,02 - Wet,01 - Traffic signal,Injury,05 - Turning movement,mid_town,0
Weekday,Night,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,05 - Turning movement,downtown,0
Weekday,Night,Road,01 - Clear,05 - Dusk,03 - Loose snow,02 - Stop sign,P.D. only,04 - Sideswipe,downtown,0
Weekday,Night,Road,01 - Clear,05 - Dusk,01 - Dry,10 - No control,P.D. only,03 - Rear end,Ottawa_south,0
Weekday,Night,Road,01 - Clear,05 - Dusk,06 - Ice,01 - Traffic signal,P.D. only,03 - Rear end,mid_town,0
Weekday,Night,Road,01 - Clear,07 - Dark,06 - Ice,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Night,Road,01 - Clear,07 - Dark,01 - Dry,02 - Stop sign,P.D. only,02 - Angle,downtown,0
Weekday,Night,Road,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,Injury,02 - Angle,downtown,0
Weekday,Night,Road,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,P.D. only,99 - Other,downtown,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,02 - Angle,Ottawa_south,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,02 - Wet,10 - No control,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,P.D. only,02 - Angle,mid_town,0
Weekday,Mid_Night,highway,01 - Clear,07 - Dark,03 - Loose snow,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,P.D. only,04 - Sideswipe,downtown,0
Weekday,Noon,highway,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,07 - SMV other,Ottawa_east,0
Weekday,Mid_Night,highway,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,P.D. only,05 - Turning movement,downtown,0
Weekday,Early_Morning,Road,01 - Clear,07 - Dark,06 - Ice,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_south,0
Weekday,Early_Morning,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,05 - Turning movement,mid_town,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,02 - Stop sign,P.D. only,02 - Angle,mid_town,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,05 - Packed snow,10 - No control,P.D. only,99 - Other,mid_town,0
Weekday,Noon,highway,01 - Clear,03 - Dawn,02 - Wet,01 - Traffic signal,P.D. only,02 - Angle,Ottawa_west,0
Weekday,Noon,highway,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Afternoon,Road,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,05 - Packed snow,10 - No control,P.D. only,06 - SMV unattended vehicle,mid_town,0
Weekday,Afternoon,highway,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,mid_town,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,05 - Packed snow,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Evening,Road,03 - Snow,01 - Daylight,06 - Ice,03 - Yield sign,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,07 - SMV other,Ottawa_west,0
Weekday,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Evening,Road,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,05 - Turning movement,Ottawa_south,0
Weekday,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,01 - Approaching,mid_town,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,06 - Ice,10 - No control,P.D. only,01 - Approaching,Ottawa_south,0
Weekday,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,04 - Sideswipe,downtown,0
Weekday,Night,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,05 - Turning movement,downtown,0
Weekday,Night,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Night,Road,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,P.D. only,05 - Turning movement,downtown,0
Weekday,Mid_Night,Road,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,99 - Other,Ottawa_west,0
Weekday,Mid_Night,Road,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Mid_Night,Road,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,P.D. only,04 - Sideswipe,mid_town,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,02 - Angle,mid_town,0
Weekday,Mid_Night,Road,03 - Snow,07 - Dark,06 - Ice,10 - No control,P.D. only,07 - SMV other,Ottawa_east,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Night,Road,01 - Clear,07 - Dark,01 - Dry,02 - Stop sign,P.D. only,03 - Rear end,mid_town,0
Weekday,Night,Road,03 - Snow,07 - Dark,02 - Wet,01 - Traffic signal,Injury,02 - Angle,downtown,0
Weekday,Mid_Night,Road,03 - Snow,07 - Dark,06 - Ice,02 - Stop sign,P.D. only,02 - Angle,mid_town,0
Weekday,Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,Injury,02 - Angle,downtown,0
Weekday,Night,Road,03 - Snow,07 - Dark,02 - Wet,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Evening,highway,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,02 - Angle,mid_town,0
Weekday,Night,Road,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,05 - Packed snow,10 - No control,P.D. only,01 - Approaching,Ottawa_south,0
Weekday,Night,Road,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,P.D. only,02 - Angle,downtown,0
Weekends,Mid_Night,Road,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,05 - Turning movement,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,02 - Angle,mid_town,0
Weekends,Night,Road,01 - Clear,05 - Dusk,06 - Ice,10 - No control,P.D. only,07 - SMV other,Ottawa_south,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,05 - Turning movement,Ottawa_west,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekends,Mid_Night,highway,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Night,Road,03 - Snow,07 - Dark,06 - Ice,10 - No control,P.D. only,07 - SMV other,Ottawa_east,0
Weekends,Night,Road,05 - Drifting Snow,05 - Dusk,04 - Slush,01 - Traffic signal,P.D. only,03 - Rear end,mid_town,0
Weekday,Mid_Night,highway,01 - Clear,07 - Dark,06 - Ice,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,03 - Yield sign,Injury,02 - Angle,downtown,0
Weekday,Mid_Night,Road,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,P.D. only,02 - Angle,downtown,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,Injury,07 - SMV other,downtown,1
Weekday,Night,Road,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,P.D. only,07 - SMV other,Ottawa_east,0
Weekends,Night,Road,01 - Clear,07 - Dark,06 - Ice,10 - No control,P.D. only,02 - Angle,downtown,0
Weekday,Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,99 - Other,Ottawa_west,0
Weekday,Night,highway,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_west,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekday,Morning,Road,01 - Clear,07 - Dark,06 - Ice,01 - Traffic signal,P.D. only,05 - Turning movement,mid_town,0
Weekday,Noon,Road,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_west,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Noon,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,06 - Ice,10 - No control,P.D. only,03 - Rear end,Ottawa_south,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,01 - Traffic signal,P.D. only,02 - Angle,downtown,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,10 - No control,P.D. only,01 - Approaching,Ottawa_west,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,99 - Other,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,01 - Traffic signal,P.D. only,04 - Sideswipe,Ottawa_west,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,06 - Ice,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,04 - Sideswipe,mid_town,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,Ottawa_west,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Noon,Road,01 - Clear,03 - Dawn,01 - Dry,02 - Stop sign,P.D. only,02 - Angle,Ottawa_east,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,03 - Rear end,downtown,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_west,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,03 - Rear end,mid_town,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,07 - SMV other,Ottawa_west,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,06 - Ice,10 - No control,P.D. only,03 - Rear end,Ottawa_east,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,03 - Rear end,mid_town,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,mid_town,0
Weekday,Noon,Road,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,07 - SMV other,mid_town,0
